ranking,score,movie_name,score_num
1,9.4,这个杀手不太冷,974552
2,9.2,七武士,84027
3,9.1,蝙蝠侠：黑暗骑士,375690
4,9.1,指环王3：王者无敌,319478
5,9.0,搏击俱乐部,439103
6,9.0,指环王2：双塔奇兵,300498
7,9.0,将军号,8670
8,8.9,指环王1：魔戒再现,336352
9,8.9,攻壳机动队,64611
10,8.8,V字仇杀队,472287
11,8.8,头号玩家,438336
12,8.8,勇敢的心,318521
13,8.8,黑客帝国,312128
14,8.8,幽灵公主,258018
15,8.8,乱,36133
16,8.8,黑客帝国动画版,31834
17,8.8,用心棒,15296
18,8.8,桥,12190
19,8.8,攻壳机动队SSS,9929
20,8.7,让子弹飞,687975
21,8.7,谍影重重3,193608
22,8.7,英雄本色,183376
23,8.7,纵横四海,159453
24,8.7,东邪西毒：终极版,98389
25,8.7,精英部队2：大敌当前,46576
26,8.7,蝙蝠侠：黑暗骑士归来(下),16543
27,8.7,椿三十郎,9005
28,8.7,铁达尼号沉没记,4950
29,8.6,阿凡达,573275
30,8.6,超能陆战队,399206
31,8.6,加勒比海盗,378955
32,8.6,蝙蝠侠：黑暗骑士崛起,314366
33,8.6,被解救的姜戈,274638
34,8.6,东邪西毒,270682
35,8.6,小萝莉的猴神大叔,168978
36,8.6,谍影重重2,168441
37,8.6,终结者2：审判日,149008
38,8.6,枪火,104834
39,8.6,恶童,49507
40,8.6,宾虚,20029
41,8.6,敲开天堂的门,9593
42,8.6,西线无战事,7898
43,8.6,碧血金沙,4218
44,8.6,落叶,4036
45,8.5,疯狂的麦克斯4：狂暴之路,217955
46,8.5,谍影重重,202885
47,8.5,新龙门客栈,195058
48,8.5,黑客帝国3：矩阵革命,165297
49,8.5,勇闯夺命岛,148651
50,8.5,黑鹰坠落,122213
51,8.5,启示,47648
52,8.5,蜘蛛巢城,9524
53,8.5,午夜狂奔,8735
54,8.5,大菩萨岭,5575
55,8.5,兽兵卫忍风帖,5103
56,8.5,盗信情缘,3758
57,8.5,死亡的游戏,2162
58,8.5,通往自由的通道,1683
59,8.5,笔中情,1170
60,8.4,红海行动,412694
61,8.4,王牌特工：特工学院,364951
62,8.4,复仇者联盟3：无限战争,304900
63,8.4,变脸,224131
64,8.4,速度与激情5,220632
65,8.4,黑客帝国2：重装上阵,150813
66,8.4,罪恶之城,138176
67,8.4,角斗士,128887
68,8.4,暗战,120895
69,8.4,神探,114087
