ranking,score,movie_name,score_num
1,9.6,肖申克的救赎,1042047
2,9.5,霸王别姬,759006
3,9.4,这个杀手不太冷,974206
4,9.4,阿甘正传,829658
5,9.5,美丽人生,484669
6,9.3,千与千寻,776753
7,9.3,泰坦尼克号,768744
8,9.4,辛德勒的名单,440763
9,9.3,盗梦空间,866358
10,9.3,机器人总动员,568142
11,9.2,三傻大闹宝莱坞,779960
12,9.2,海上钢琴师,666275
13,9.2,忠犬八公的故事,540447
14,9.2,放牛班的春天,522117
15,9.2,大话西游之大圣娶亲,571407
16,9.1,楚门的世界,544583
17,9.1,龙猫,482302
18,9.2,教父,391376
19,9.2,星际穿越,572206
20,9.2,熔炉,316189
21,9.2,乱世佳人,303679
22,9.2,触不可及,423967
23,9.1,无间道,466523
24,8.9,当幸福来敲门,617239
25,9.1,天堂电影院,342117
26,8.9,怦然心动,647327
27,9.4,十二怒汉,194207
28,9.0,少年派的奇幻漂流,649955
29,9.0,搏击俱乐部,439067
30,9.1,蝙蝠侠：黑暗骑士,375574
31,9.2,鬼子来了,265054
32,9.1,活着,312506
33,9.1,指环王3：王者无敌,319395
34,9.0,天空之城,375759
35,9.2,疯狂动物城,598906
36,8.9,大话西游之月光宝盒,460317
37,8.9,罗马假日,432260
38,8.9,飞屋环游记,562883
39,9.6,控方证人,116075
40,9.1,窃听风暴,253956
41,9.1,两杆大烟枪,300244
42,9.0,飞越疯人院,305107
43,8.9,闻香识女人,364730
44,8.9,哈尔的移动城堡,400970
45,9.1,辩护人,242822
46,9.3,海豚湾,198313
47,8.8,V字仇杀队,472244
48,9.0,死亡诗社,314172
49,9.1,教父2,211026
50,8.9,美丽心灵,338716
51,9.0,指环王2：双塔奇兵,300458
52,9.1,摔跤吧！爸爸,530979
53,8.9,指环王1：魔戒再现,336315
54,9.1,饮食男女,228580
55,8.8,情书,417621
56,9.1,美国往事,194644
57,8.9,狮子王,313804
58,9.0,钢琴家,223596
59,9.1,素媛,210407
60,8.7,天使爱美丽,526426
61,8.7,七宗罪,474504
62,9.2,小鞋子,156679
63,8.9,被嫌弃的松子的一生,326886
64,8.8,致命魔术,381377
65,8.8,看不见的客人,391757
66,8.9,音乐之声,254326
67,8.8,勇敢的心,318473
68,8.8,本杰明·巴顿奇事,432646
69,8.7,剪刀手爱德华,530277
70,8.8,西西里的美丽传说,392849
71,8.8,低俗小说,370682
72,8.8,黑客帝国,312033
73,8.9,拯救大兵瑞恩,266656
74,8.7,沉默的羔羊,388726
75,8.7,让子弹飞,687769
76,8.8,入殓师,341969
77,8.7,蝴蝶效应,420271
78,8.8,春光乍泄,274930
79,9.3,大闹天宫,114098
80,8.9,玛丽和马克思,246894
81,8.8,心灵捕手,300468
82,9.0,末代皇帝,194715
83,8.8,阳光灿烂的日子,297084
84,8.8,幽灵公主,257963
85,8.8,第六感,256357
86,8.7,重庆森林,365130
87,8.8,布达佩斯大饭店,353753
88,8.7,禁闭岛,396236
89,8.7,哈利·波特与魔法石,290785
90,9.0,狩猎,145583
91,8.7,大鱼,275272
92,8.8,猫鼠游戏,257466
93,8.6,致命ID,349519
94,8.7,射雕英雄传之东成西就,300953
95,8.8,甜蜜蜜,251501
96,8.7,断背山,349398
97,8.9,一一,169302
98,8.7,告白,372702
99,8.8,阳光姐妹淘,293259
100,8.6,加勒比海盗,378851
101,8.9,上帝之城,168757
102,8.9,穿条纹睡衣的男孩,166108
103,9.2,摩登时代,99451
104,8.6,阿凡达,573197
105,8.7,爱在黎明破晓前,241948
106,8.7,消失的爱人,391816
107,8.8,风之谷,191224
108,8.7,爱在日落黄昏时,215764
109,8.8,侧耳倾听,185148
110,8.8,超脱,190440
111,8.9,红辣椒,149511
112,8.6,倩女幽魂,280170
113,8.7,恐怖直播,246867
114,8.7,驯龙高手,308898
115,8.9,小森林 夏秋篇,148610
116,8.7,幸福终点站,242482
117,8.7,菊次郎的夏天,199956
118,8.7,萤火虫之墓,220373
119,8.5,喜剧之王,348242
120,8.7,借东西的小人阿莉埃蒂,235719
121,9.2,七武士,84006
122,8.6,岁月神偷,327098
123,8.7,杀人回忆,225969
124,8.5,神偷奶爸,411137
125,8.7,电锯惊魂,213029
126,8.5,真爱至上,335946
127,8.5,贫民窟的百万富翁,419522
128,9.0,海洋,103510
129,8.8,喜宴,152040
130,8.7,谍影重重3,193568
131,8.6,东邪西毒,270616
132,8.5,记忆碎片,299091
133,8.6,雨人,222533
134,8.6,怪兽电力公司,261504
135,8.5,黑天鹅,445794
136,8.7,英雄本色,183307
137,8.7,疯狂原始人,395543
138,8.9,卢旺达饭店,129148
139,8.7,燃情岁月,156069
